Setting constant concentration for Diatoms @ 20
Setting constant concentration for HAB @ 20
No initial condition for this pressure gradient --> using default!
Using initial condition from initial_condition/initial_condition-pressure=2.00e-07.csv
Total time = 346.168000
         233408533 function calls (232510377 primitive calls) in 371.927 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8191    0.005    0.000    0.280    0.000 transforms.py:239(__array__)
      279    0.275    0.001    0.279    0.001 {built-in method _io.open}
   175180    0.087    0.000    0.279    0.000 indexes.py:1475(_id_index)
       29    0.010    0.000    0.277    0.010 font_manager.py:1393(_findfont_cached)
        1    0.000    0.000    0.275    0.275 colors.py:1(<module>)
     1726    0.011    0.000    0.275    0.000 arithmetic.py:43(__array_ufunc__)
     9785    0.007    0.000    0.274    0.000 indexes.py:1800(isel_indexes)
       99    0.274    0.003    0.274    0.003 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
5181/3454    0.044    0.000    0.271    0.000 series.py:389(__init__)
    75647    0.114    0.000    0.268    0.000 dataarray.py:412(__init__)
    93203    0.199    0.000    0.268    0.000 base.py:649(_simple_new)
        3    0.000    0.000    0.268    0.089 _mathtext.py:675(__init__)
     9785    0.061    0.000    0.267    0.000 indexes.py:1776(_apply_indexes)
12227/9397    0.254    0.000    0.266    0.000 <frozen abc>:121(__subclasscheck__)
    13808    0.008    0.000    0.263    0.000 transforms.py:374(extents)
   117/59    0.000    0.000    0.263    0.004 core.py:4512(parseImpl)
    66/30    0.000    0.000    0.262    0.009 core.py:4242(parseImpl)
     1727    0.001    0.000    0.261    0.000 common.py:192(_iter)
     1727    0.002    0.000    0.260    0.000 dataarray.py:870(__getitem__)
     1725    0.015    0.000    0.258    0.000 concat.py:322(_calc_concat_over)
    40557    0.105    0.000    0.256    0.000 base.py:1697(_validate_names)
     1159    0.255    0.000    0.255    0.000 {method '__exit__' of '_io._IOBase' objects}
185666/185665    0.110    0.000    0.255    0.000 {built-in method builtins.all}
       63    0.254    0.004    0.254    0.004 {method 'read' of '_io.TextIOWrapper' objects}
    15231    0.009    0.000    0.254    0.000 transforms.py:2770(get_transformed_path_and_affine)
   516625    0.160    0.000    0.253    0.000 <frozen _collections_abc>:892(__iter__)
    21004    0.014    0.000    0.252    0.000 variable.py:806(_finalize_indexing_result)
