pmax,ws
0.27106250000000004,5.833333333333336e-06
0.27106250000000004,6.666666666666667e-06
0.27106250000000004,7.500000000000001e-06
0.27106250000000004,8.333333333333335e-06
0.27106250000000004,9.16666666666667e-06
0.27106250000000004,1e-05
0.291875,-1e-05
0.291875,-9.166666666666668e-06
0.291875,-8.333333333333334e-06
0.291875,-7.500000000000001e-06
0.291875,-6.666666666666667e-06
0.291875,-5.833333333333334e-06
0.291875,-5e-06
0.291875,-4.166666666666667e-06
0.291875,-3.3333333333333333e-06
0.291875,-2.4999999999999998e-06
0.291875,-1.666666666666667e-06
0.291875,-8.333333333333327e-07
0.291875,0.0
0.291875,8.333333333333344e-07
0.291875,1.666666666666667e-06
0.291875,2.5000000000000015e-06
0.291875,3.333333333333334e-06
0.291875,4.166666666666667e-06
0.291875,5.000000000000001e-06
0.291875,5.833333333333336e-06
0.291875,6.666666666666667e-06
0.291875,7.500000000000001e-06
0.291875,8.333333333333335e-06
0.291875,9.16666666666667e-06
0.291875,1e-05
0.3126875,-1e-05
0.3126875,-9.166666666666668e-06
0.3126875,-8.333333333333334e-06
0.3126875,-7.500000000000001e-06
0.3126875,-6.666666666666667e-06
0.3126875,-5.833333333333334e-06
0.3126875,-5e-06
0.3126875,-4.166666666666667e-06
0.3126875,-3.3333333333333333e-06
0.3126875,-2.4999999999999998e-06
0.3126875,-1.666666666666667e-06
0.3126875,-8.333333333333327e-07
0.3126875,0.0
0.3126875,8.333333333333344e-07
0.3126875,1.666666666666667e-06
0.3126875,2.5000000000000015e-06
0.3126875,3.333333333333334e-06
0.3126875,4.166666666666667e-06
0.3126875,5.000000000000001e-06
0.3126875,5.833333333333336e-06
0.3126875,6.666666666666667e-06
0.3126875,7.500000000000001e-06
0.3126875,8.333333333333335e-06
0.3126875,9.16666666666667e-06
0.3126875,1e-05
0.3335,-1e-05
0.3335,-9.166666666666668e-06
0.3335,-8.333333333333334e-06
0.3335,-7.500000000000001e-06
0.3335,-6.666666666666667e-06
0.3335,-5.833333333333334e-06
0.3335,-5e-06
0.3335,-4.166666666666667e-06
0.3335,-3.3333333333333333e-06
0.3335,-2.4999999999999998e-06
0.3335,-1.666666666666667e-06
0.3335,-8.333333333333327e-07
0.3335,0.0
0.3335,8.333333333333344e-07
